Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
MXL,"MaxLinear, Inc",81.12,USD,373.2788798133022,8.959032907991944,8.174423256434205,5.432340095801635,4866203,2376400.7333333334,1.9495149571957897,7357030868.476332,USD,55.17171661474273,50.50460960543893,Electronic technology,2026-10-28
APPS,"Digital Turbine, Inc.",10.66,USD,229.01234567901233,-11.129637348895367,-2.7372262773722693,6.497855802733913,3528687,2769913.1,1.3992779656270526,1290033235.698905,USD,26.77619418602876,19.240509849178554,Technology services,2026-11-11
BAND,Bandwidth Inc.,50.23,USD,225.3238341968912,-7.153419593345665,-0.5543456741239381,8.26270583885553,1271118,828538.8666666667,1.4045010799069249,1616440889.8693328,USD,22.156177609394877,9.251740521774,Technology services,2026-10-29
PENG,"Penguin Solutions, Inc.",53.3,USD,201.81200453001134,-8.403505757002923,1.4272121788772598,4.241342803537935,2226695,1495636.6666666667,1.8552223455688688,2731235799.4443393,USD,47.636553164052984,11.973368504204736,Electronic technology,2026-10-06
MRVL,"Marvell Technology, Inc.",244.25,USD,174.74690663667042,1.71573730895765,1.4495763415849847,4.024544524053176,23067655,22642420.466666665,1.2325933658554478,214182826076.38,USD,36.54852699267235,30.621017567623603,Electronic technology,2026-11-26
AMD,"Advanced Micro Devices, Inc.",559.82,USD,173.23620567635507,15.170342330480594,2.7023060412042077,3.168651148073079,31633962,19548038.333333332,1.4877927852169075,913892185858.0952,USD,50.11060507482108,39.54391891891892,Electronic technology,2026-11-03
HPE,Hewlett Packard Enterprise Company,60.76,USD,170.88720463664734,9.103968396480518,-0.4587155963302771,5.823815009875071,25778924,22948321.00000002,0.7974225929099046,80656757699.35321,USD,32.37339708758966,26.63381899522399,Electronic technology,2026-12-03
ENGS,Energys Group Limited,2.82,USD,154.054054054054,-4.081632653061228,5.6179775280898845,4.065349544072992,5343681,1353536.4,3.6638661511990382,125564843.01123597,USD,,-33.561947226961195,Electronic technology,
AEHR,Aehr Test Systems,93.49,USD,147.8525980911983,-24.385312196700102,3.246824958586414,7.026416117842974,2006400,2739342.6333333333,0.5992143017497362,3053341049.18487,USD,33.685854212506214,-15.206552706552706,Electronic technology,2026-10-06
OSCR,"Oscar Health, Inc.",32.13,USD,142.49056603773587,4.081632653061229,0.46904315196998786,5.528633675692468,9447027,5434460.5,1.8532312525655468,8786558655.531895,USD,70.40201540183209,42.81608289889565,Health services,2026-11-10
SMTC,Semtech Corporation,185,USD,136.57289002557545,36.551520519633904,3.821763286379708,5.247652509652497,6000679,3309458.066666667,1.8512494982910273,17265240410.348507,USD,32.719564888252215,17.841509161302753,Electronic technology,2026-12-02
CLOV,"Clover Health Investments, Corp.",4.46,USD,133.50785340314135,3.962703962703961,-1.7621145374449354,4.966207559256758,6160963,4223599.666666667,1.3295453400234978,2368961097.264317,USD,55.60415493267392,54.03893900418447,Finance,2026-11-09
SNDK,Sandisk Corporation,1791.82,USD,131.89077261550406,6.503487566905707,10.990528930431918,5.1256196811861185,17378261,12277855.5,1.801067094980756,262356506333.9463,USD,371.5938979484482,175.29571719918422,Electronic technology,2026-11-05
TH,Target Hospitality Corp.,21.19,USD,131.83807439824943,21.224256292906183,2.0712909441233123,3.906256320366739,4948408,1905884.8666666667,1.8137491818092586,2111020308.382948,USD,38.712138428075185,11.916283805117565,Consumer services,2026-11-11
INTC,Intel Corporation,108.6,USD,131.3099041533546,11.487526947951954,-0.18382352941176733,3.936536437779539,172443660,102631198.36666666,1.642760231954384,574071070008.5956,USD,25.421883505715844,7.465611456566798,Electronic technology,2026-10-22
MU,"Micron Technology, Inc.",1015.8,USD,128.82759086762104,5.88364057100864,3.918158567774931,3.45739389081091,35144438,27070813.133333333,1.4188792180028464,1147237476855.3552,USD,345.71551446081065,166.98015556147044,Electronic technology,2026-09-30
PYXS,"Pyxis Oncology, Inc.",3.33,USD,116.23376623376623,8.469055374592841,-2.346041055718477,9.66945516945515,563429,1313732.6666666667,0.435357996683599,277748814.8005865,USD,-100,291.4184397163121,Health technology,2026-11-17
SIMO,Silicon Motion Technology Corporation,272.11,USD,116.13185067513899,9.276735874061291,7.425977102250296,5.758466901515651,864296,1007859.8,1.023542292221907,8588833178.000001,USD,122.89450360168794,69.55933666350374,Electronic technology,2026-11-04
HNGE,"Hinge Health, Inc.",94.9,USD,114.17287294064545,6.2115277000559725,0.190033783783791,4.4330046665663305,4862870,1919394.6333333333,2.72832720065136,7657900489.660051,USD,52.99788638226286,49.76497210863696,Technology services,2026-11-03
RXT,"Rackspace Technology, Inc.",3.8,USD,112.29050279329607,5.997210599721056,-3.061224489795921,6.755075187969789,14847160,7788768.2,1.88962006497031,968516843.5714285,USD,0.570313672519886,0.33790056069213914,Technology services,2026-11-11
MRX,Marex Group Limited,74.39,USD,110.02258610954263,2.9049661087287233,1.5285928756653535,4.402502256447707,698949,762349.0666666667,0.7290218816395115,5350937178.778764,USD,33.95195263621318,,Technology services,2026-11-05
RBRK,"Rubrik, Inc.",106.71,USD,109.68756140695616,5.3301747112821944,-1.038671983678016,5.035530208709686,5133516,3831331.7666666666,1.553271540943744,22121456284.530464,USD,37.88807848705867,42.448820868652774,Technology services,2026-12-03
DRTS,Alpha Tau Medical Ltd.,15.24,USD,107.34693877551021,4.958677685950417,-1.6139444803098775,4.719066366704233,622640,614240.8,1.1207335527257223,1409367092.0877986,USD,,,Health technology,2026-11-24
ARM,Arm Holdings plc,275.61,USD,101.32213294375457,7.241245136186776,4.043035107587783,4.02401167280891,6880024,3971999.566666667,1.5749565566460335,282913193481,USD,22.41215574548908,25.11526328561029,Electronic technology,2026-11-04
VRNS,"Varonis Systems, Inc.",47.56,USD,100.5735492577598,9.00756360302544,-0.5229031583350763,4.170341223116672,2715597,1712447.133333334,1.2840580022634183,5462764645.859025,USD,18.83506502894922,15.860227700414,Technology services,2026-11-02
STX,Seagate Technology Holdings PLC,858.79,USD,98.10611303344868,-5.7724380074610515,6.930384869199253,4.984669460187315,6955709,3937724.6,1.8190339108414852,195282853374.22275,USD,48.4860883797054,34.05518302737166,Electronic technology,2026-10-28
HUT,Hut 8 Corp.,98.74,USD,96.92859992022335,21.765939080034517,8.517419496647983,7.029854741167263,7374384,4950963.599999999,1.5228154884201093,12170639592.16815,USD,81.43780721132245,129.49770107526416,Technology services,2026-11-18
TWLO,Twilio Inc.,243.84,USD,94.5273234942162,5.049112528002757,-0.9746588693957137,4.0194624109486154,4055908,2240961.033333333,2.4652323543314587,37447783901.785576,USD,22.033416773510798,17.82384637960389,Technology services,2026-10-29
